Abject	Endeavour	Monsieur
Admonish	Enrich	Morsel
Alias	Entrepreneurs	Negligent
Atoll	Exonerate	Nubby
Bankrupt	Facile	Occasion
Bicycle	Familiar	Opaque
Boggle	Function	Paragraph
Boisterously	Gauche	Passive
Brevity	Govern	Phrase
Caldron	Gruel	Poinsettia
Cemetery	Guileless	Prevision
Chamber	Happiness	Profligate
Chord	Havoc	Questionnaire
Cinematographer	Heckle	Rapscallion
Coercive	Herbivorous	Reciprocal
Collaborate	Hybrid	Redeem
Collection	Hygiene	Respite
Colonel	Idler	Riddle
Commingle	Ignominy	Scenery
Compose	Impecunious	Secure
Contempt	Indomitable	Sierra
Cower	Initially	Sincerely
Dampen	Javelin	Sinewy
Decelerate	Jinx	Stereo
Decipher	Jostle	Umbrage
Detract	Kindling	Unscathed
Disclose	Knitting	Waft
Disproportionate	Lucid	Wily
Effectuate	Macaroon	Wither
Encamp	Merrily	Worsted
Encapsulate	Miracle	Xenophobia
