Acclimatize	Fractious	Platitude
Aerogramme	Frankincense	Prescience
Ankh	Fulsome	Ptosis
Apostrophe	Habiliments	Quoin
Appaloosa	Hacienda	Quotidian
Arriviste	Heterogenous	Rarefy
Aurochs	Hydrangea	Raucous
Azimuth	Hyperpyrexia	Redoubtable
Bedraggled	Impute	Rhathymia
Bight	Indubitable	Sacroiliac
Blandishment	Inveterate	Sarsaparilla
Borborygmus	Irrepressible	Seneschal
Cacophony	Jalousie	Simpatico
Caliph	Klieg	Sleazy
Cantle	Legerdemain	Sloe
Cassioberry	Morose	Sphinx
Choreography	Nebulous	Staphylococci
Circumscribe	Nouveau	Subcutaneous
Clerihew	Obfuscate	Suffrutescent
Corporeity	Objurgate	Taciturn
Ctenii	Obloquy	Tern
Cuirass	Odontalgia	Tirade
Demesne	Onerous	Tortuous
Despot	Pachyderm	Umlaut
Duplicity	Paean	Unwonted
Edelweiss	Peccadillo	Wainscoting
Egueiite	Penumbra	Wanton
Emend	Penurious	Wok
Esophagus	Pergola	Yurt
Etoliate	Pertinacious	Zinc
Eviscerate	Petiole	Zoopraxiscope
Foudroyant	Philanthropic	
